table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,is_identity,identity_generation
auth,instances,4,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,instances,5,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,mfa_amr_claims,1,session_id,uuid,uuid,NO,null,NO,null
auth,mfa_amr_claims,2,created_at,timestamp with time zone,timestamptz,NO,null,NO,null
auth,mfa_amr_claims,3,updated_at,timestamp with time zone,timestamptz,NO,null,NO,null
auth,mfa_amr_claims,4,authentication_method,text,text,NO,null,NO,null
auth,mfa_amr_claims,5,id,uuid,uuid,NO,null,NO,null
auth,mfa_challenges,1,id,uuid,uuid,NO,null,NO,null
auth,mfa_challenges,2,factor_id,uuid,uuid,NO,null,NO,null
auth,mfa_challenges,3,created_at,timestamp with time zone,timestamptz,NO,null,NO,null
auth,mfa_challenges,4,verified_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,mfa_challenges,5,ip_address,inet,inet,NO,null,NO,null
auth,mfa_challenges,6,otp_code,text,text,YES,null,NO,null
auth,mfa_challenges,7,web_authn_session_data,jsonb,jsonb,YES,null,NO,null
auth,mfa_factors,1,id,uuid,uuid,NO,null,NO,null
auth,mfa_factors,2,user_id,uuid,uuid,NO,null,NO,null
auth,mfa_factors,3,friendly_name,text,text,YES,null,NO,null
auth,mfa_factors,4,factor_type,USER-DEFINED,factor_type,NO,null,NO,null
auth,mfa_factors,5,status,USER-DEFINED,factor_status,NO,null,NO,null
auth,mfa_factors,6,created_at,timestamp with time zone,timestamptz,NO,null,NO,null
auth,mfa_factors,7,updated_at,timestamp with time zone,timestamptz,NO,null,NO,null
auth,mfa_factors,8,secret,text,text,YES,null,NO,null
auth,mfa_factors,9,phone,text,text,YES,null,NO,null
auth,mfa_factors,10,last_challenged_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,mfa_factors,11,web_authn_credential,jsonb,jsonb,YES,null,NO,null
auth,mfa_factors,12,web_authn_aaguid,uuid,uuid,YES,null,NO,null
auth,mfa_factors,13,last_webauthn_challenge_data,jsonb,jsonb,YES,null,NO,null
auth,oauth_authorizations,1,id,uuid,uuid,NO,null,NO,null
auth,oauth_authorizations,2,authorization_id,text,text,NO,null,NO,null
auth,oauth_authorizations,3,client_id,uuid,uuid,NO,null,NO,null
auth,oauth_authorizations,4,user_id,uuid,uuid,YES,null,NO,null
auth,oauth_authorizations,5,redirect_uri,text,text,NO,null,NO,null
auth,oauth_authorizations,6,scope,text,text,NO,null,NO,null
auth,oauth_authorizations,7,state,text,text,YES,null,NO,null
auth,oauth_authorizations,8,resource,text,text,YES,null,NO,null
auth,oauth_authorizations,9,code_challenge,text,text,YES,null,NO,null
auth,oauth_authorizations,10,code_challenge_method,USER-DEFINED,code_challenge_method,YES,null,NO,null
auth,oauth_authorizations,11,response_type,USER-DEFINED,oauth_response_type,NO,'code'::auth.oauth_response_type,NO,null
auth,oauth_authorizations,12,status,USER-DEFINED,oauth_authorization_status,NO,'pending'::auth.oauth_authorization_status,NO,null
auth,oauth_authorizations,13,authorization_code,text,text,YES,null,NO,null
auth,oauth_authorizations,14,created_at,timestamp with time zone,timestamptz,NO,now(),NO,null
auth,oauth_authorizations,15,expires_at,timestamp with time zone,timestamptz,NO,(now() + '00:03:00'::interval),NO,null
auth,oauth_authorizations,16,approved_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,oauth_authorizations,17,nonce,text,text,YES,null,NO,null
auth,oauth_client_states,1,id,uuid,uuid,NO,null,NO,null
auth,oauth_client_states,2,provider_type,text,text,NO,null,NO,null
auth,oauth_client_states,3,code_verifier,text,text,YES,null,NO,null
auth,oauth_client_states,4,created_at,timestamp with time zone,timestamptz,NO,null,NO,null
auth,oauth_clients,1,id,uuid,uuid,NO,null,NO,null
auth,oauth_clients,3,client_secret_hash,text,text,YES,null,NO,null
auth,oauth_clients,4,registration_type,USER-DEFINED,oauth_registration_type,NO,null,NO,null
auth,oauth_clients,5,redirect_uris,text,text,NO,null,NO,null
auth,oauth_clients,6,grant_types,text,text,NO,null,NO,null
auth,oauth_clients,7,client_name,text,text,YES,null,NO,null
auth,oauth_clients,8,client_uri,text,text,YES,null,NO,null
auth,oauth_clients,9,logo_uri,text,text,YES,null,NO,null
auth,oauth_clients,10,created_at,timestamp with time zone,timestamptz,NO,now(),NO,null
auth,oauth_clients,11,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,null
auth,oauth_clients,12,deleted_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,oauth_clients,13,client_type,USER-DEFINED,oauth_client_type,NO,'confidential'::auth.oauth_client_type,NO,null
auth,oauth_consents,1,id,uuid,uuid,NO,null,NO,null
auth,oauth_consents,2,user_id,uuid,uuid,NO,null,NO,null
auth,oauth_consents,3,client_id,uuid,uuid,NO,null,NO,null
auth,oauth_consents,4,scopes,text,text,NO,null,NO,null
auth,oauth_consents,5,granted_at,timestamp with time zone,timestamptz,NO,now(),NO,null
auth,oauth_consents,6,revoked_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,one_time_tokens,1,id,uuid,uuid,NO,null,NO,null
auth,one_time_tokens,2,user_id,uuid,uuid,NO,null,NO,null
auth,one_time_tokens,3,token_type,USER-DEFINED,one_time_token_type,NO,null,NO,null
auth,one_time_tokens,4,token_hash,text,text,NO,null,NO,null
auth,one_time_tokens,5,relates_to,text,text,NO,null,NO,null
auth,one_time_tokens,6,created_at,timestamp without time zone,timestamp,NO,now(),NO,null
auth,one_time_tokens,7,updated_at,timestamp without time zone,timestamp,NO,now(),NO,null
auth,refresh_tokens,1,instance_id,uuid,uuid,YES,null,NO,null
auth,refresh_tokens,2,id,bigint,int8,NO,nextval('auth.refresh_tokens_id_seq'::regclass),NO,null
auth,refresh_tokens,3,token,character varying,varchar,YES,null,NO,null
auth,refresh_tokens,4,user_id,character varying,varchar,YES,null,NO,null
auth,refresh_tokens,5,revoked,boolean,bool,YES,null,NO,null
auth,refresh_tokens,6,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,refresh_tokens,7,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,refresh_tokens,8,parent,character varying,varchar,YES,null,NO,null
auth,refresh_tokens,9,session_id,uuid,uuid,YES,null,NO,null
auth,saml_providers,1,id,uuid,uuid,NO,null,NO,null
auth,saml_providers,2,sso_provider_id,uuid,uuid,NO,null,NO,null
auth,saml_providers,3,entity_id,text,text,NO,null,NO,null
auth,saml_providers,4,metadata_xml,text,text,NO,null,NO,null
auth,saml_providers,5,metadata_url,text,text,YES,null,NO,null
auth,saml_providers,6,attribute_mapping,jsonb,jsonb,YES,null,NO,null
auth,saml_providers,7,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,saml_providers,8,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,saml_providers,9,name_id_format,text,text,YES,null,NO,null
auth,saml_relay_states,1,id,uuid,uuid,NO,null,NO,null
auth,saml_relay_states,2,sso_provider_id,uuid,uuid,NO,null,NO,null
auth,saml_relay_states,3,request_id,text,text,NO,null,NO,null
auth,saml_relay_states,4,for_email,text,text,YES,null,NO,null
auth,saml_relay_states,5,redirect_to,text,text,YES,null,NO,null
auth,saml_relay_states,7,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,saml_relay_states,8,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,saml_relay_states,9,flow_state_id,uuid,uuid,YES,null,NO,null
auth,schema_migrations,1,version,character varying,varchar,NO,null,NO,null
auth,sessions,1,id,uuid,uuid,NO,null,NO,null
auth,sessions,2,user_id,uuid,uuid,NO,null,NO,null
auth,sessions,3,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,sessions,4,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,sessions,5,factor_id,uuid,uuid,YES,null,NO,null
auth,sessions,6,aal,USER-DEFINED,aal_level,YES,null,NO,null
auth,sessions,7,not_after,timestamp with time zone,timestamptz,YES,null,NO,null
auth,sessions,8,refreshed_at,timestamp without time zone,timestamp,YES,null,NO,null
auth,sessions,9,user_agent,text,text,YES,null,NO,null
auth,sessions,10,ip,inet,inet,YES,null,NO,null
auth,sessions,11,tag,text,text,YES,null,NO,null
auth,sessions,12,oauth_client_id,uuid,uuid,YES,null,NO,null
auth,sessions,13,refresh_token_hmac_key,text,text,YES,null,NO,null
auth,sessions,14,refresh_token_counter,bigint,int8,YES,null,NO,null
auth,sessions,15,scopes,text,text,YES,null,NO,null
auth,sso_domains,1,id,uuid,uuid,NO,null,NO,null
auth,sso_domains,2,sso_provider_id,uuid,uuid,NO,null,NO,null
auth,sso_domains,3,domain,text,text,NO,null,NO,null
auth,sso_domains,4,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,sso_domains,5,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,sso_providers,1,id,uuid,uuid,NO,null,NO,null
auth,sso_providers,2,resource_id,text,text,YES,null,NO,null
auth,sso_providers,3,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,sso_providers,4,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,sso_providers,5,disabled,boolean,bool,YES,null,NO,null
auth,users,1,instance_id,uuid,uuid,YES,null,NO,null
auth,users,2,id,uuid,uuid,NO,null,NO,null
auth,users,3,aud,character varying,varchar,YES,null,NO,null
auth,users,4,role,character varying,varchar,YES,null,NO,null
auth,users,5,email,character varying,varchar,YES,null,NO,null
auth,users,6,encrypted_password,character varying,varchar,YES,null,NO,null
auth,users,7,email_confirmed_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,8,invited_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,9,confirmation_token,character varying,varchar,YES,null,NO,null
auth,users,10,confirmation_sent_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,11,recovery_token,character varying,varchar,YES,null,NO,null
auth,users,12,recovery_sent_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,13,email_change_token_new,character varying,varchar,YES,null,NO,null
auth,users,14,email_change,character varying,varchar,YES,null,NO,null
auth,users,15,email_change_sent_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,16,last_sign_in_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,17,raw_app_meta_data,jsonb,jsonb,YES,null,NO,null
auth,users,18,raw_user_meta_data,jsonb,jsonb,YES,null,NO,null
auth,users,19,is_super_admin,boolean,bool,YES,null,NO,null
auth,users,20,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,21,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,22,phone,text,text,YES,NULL::character varying,NO,null
auth,users,23,phone_confirmed_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,24,phone_change,text,text,YES,''::character varying,NO,null
auth,users,25,phone_change_token,character varying,varchar,YES,''::character varying,NO,null
auth,users,26,phone_change_sent_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,27,confirmed_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,28,email_change_token_current,character varying,varchar,YES,''::character varying,NO,null
auth,users,29,email_change_confirm_status,smallint,int2,YES,0,NO,null
auth,users,30,banned_until,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,31,reauthentication_token,character varying,varchar,YES,''::character varying,NO,null
auth,users,32,reauthentication_sent_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,33,is_sso_user,boolean,bool,NO,false,NO,null
auth,users,34,deleted_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,users,35,is_anonymous,boolean,bool,NO,false,NO,null
extensions,pg_stat_statements,1,userid,oid,oid,YES,null,NO,null
extensions,pg_stat_statements,2,dbid,oid,oid,YES,null,NO,null
extensions,pg_stat_statements,3,toplevel,boolean,bool,YES,null,NO,null
extensions,pg_stat_statements,4,queryid,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,5,query,text,text,YES,null,NO,null
extensions,pg_stat_statements,6,plans,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,7,total_plan_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,8,min_plan_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,9,max_plan_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,10,mean_plan_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,11,stddev_plan_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,12,calls,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,13,total_exec_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,14,min_exec_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,15,max_exec_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,16,mean_exec_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,17,stddev_exec_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,18,rows,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,19,shared_blks_hit,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,20,shared_blks_read,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,21,shared_blks_dirtied,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,22,shared_blks_written,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,23,local_blks_hit,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,24,local_blks_read,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,25,local_blks_dirtied,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,26,local_blks_written,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,27,temp_blks_read,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,28,temp_blks_written,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,29,shared_blk_read_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,30,shared_blk_write_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,31,local_blk_read_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,32,local_blk_write_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,33,temp_blk_read_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,34,temp_blk_write_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,35,wal_records,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,36,wal_fpi,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,37,wal_bytes,numeric,numeric,YES,null,NO,null
extensions,pg_stat_statements,38,jit_functions,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,39,jit_generation_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,40,jit_inlining_count,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,41,jit_inlining_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,42,jit_optimization_count,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,43,jit_optimization_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,44,jit_emission_count,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,45,jit_emission_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,46,jit_deform_count,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements,47,jit_deform_time,double precision,float8,YES,null,NO,null
extensions,pg_stat_statements,48,stats_since,timestamp with time zone,timestamptz,YES,null,NO,null
extensions,pg_stat_statements,49,minmax_stats_since,timestamp with time zone,timestamptz,YES,null,NO,null
extensions,pg_stat_statements_info,1,dealloc,bigint,int8,YES,null,NO,null
extensions,pg_stat_statements_info,2,stats_reset,timestamp with time zone,timestamptz,YES,null,NO,null
public,abonnements,1,id,uuid,uuid,NO,gen_random_uuid(),NO,null
public,abonnements,2,entreprise_id,uuid,uuid,YES,null,NO,null
public,abonnements,3,regie_id,uuid,uuid,YES,null,NO,null
public,abonnements,4,plan_id,uuid,uuid,NO,null,NO,null
public,abonnements,5,type_periode,character varying,varchar,NO,'mensuel'::character varying,NO,null
public,abonnements,6,date_debut,date,date,NO,CURRENT_DATE,NO,null
public,abonnements,7,date_fin,date,date,NO,null,NO,null
public,abonnements,8,statut,character varying,varchar,NO,'actif'::character varying,NO,null
public,abonnements,9,montant_paye,numeric,numeric,NO,null,NO,null
public,abonnements,10,date_prochain_paiement,date,date,YES,null,NO,null
public,abonnements,11,missions_ce_mois,integer,int4,YES,0,NO,null
public,abonnements,12,dernier_reset_quota,date,date,YES,CURRENT_DATE,NO,null
public,abonnements,13,created_at,timestamp with time zone,timestamptz,YES,now(),NO,null
public,abonnements,14,updated_at,timestamp with time zone,timestamptz,YES,now(),NO,null
public,abonnements_stats,1,plan_nom,character varying,varchar,YES,null,NO,null
public,abonnements_stats,2,nom_affichage,character varying,varchar,YES,null,NO,null
public,abonnements_stats,3,nombre_abonnements,bigint,int8,YES,null,NO,null
public,abonnements_stats,4,abonnements_actifs,bigint,int8,YES,null,NO,null
public,abonnements_stats,5,abonnements_mensuels,bigint,int8,YES,null,NO,null
public,abonnements_stats,6,abonnements_annuels,bigint,int8,YES,null,NO,null
public,abonnements_stats,7,mrr_mensuel,numeric,numeric,YES,null,NO,null
public,abonnements_stats,8,mrr_annuel,numeric,numeric,YES,null,NO,null
public,abonnements_stats,9,mrr_total,numeric,numeric,YES,null,NO,null
public,admin_agences_en_attente,1,id,uuid,uuid,YES,null,NO,null
public,admin_agences_en_attente,2,nom_agence,text,text,YES,null,NO,null
public,admin_agences_en_attente,3,email,text,text,YES,null,NO,null
public,admin_agences_en_attente,4,siret,text,text,YES,null,NO,null
public,admin_agences_en_attente,5,nb_collaborateurs,integer,int4,YES,null,NO,null
public,admin_agences_en_attente,6,nb_logements_geres,integer,int4,YES,null,NO,null
public,admin_agences_en_attente,7,statut_validation,text,text,YES,null,NO,null
public,admin_agences_en_attente,8,date_inscription,timestamp with time zone,timestamptz,YES,null,NO,null
public,admin_agences_en_attente,9,email_contact,text,text,YES,null,NO,null
public,admin_agences_en_attente,10,language,text,text,YES,null,NO,null
public,admin_dashboard,1,total_regies,bigint,int8,YES,null,NO,null
public,admin_dashboard,2,regies_30_jours,bigint,int8,YES,null,NO,null
public,admin_dashboard,3,total_immeubles,bigint,int8,YES,null,NO,null
public,admin_dashboard,4,immeubles_30_jours,bigint,int8,YES,null,NO,null
public,admin_dashboard,5,total_logements,bigint,int8,YES,null,NO,null
public,admin_dashboard,6,logements_30_jours,bigint,int8,YES,null,NO,null
public,admin_dashboard,7,total_locataires,bigint,int8,YES,null,NO,null
public,admin_dashboard,8,locataires_30_jours,bigint,int8,YES,null,NO,null
public,admin_dashboard,9,total_tickets,bigint,int8,YES,null,NO,null
public,admin_dashboard,10,tickets_30_jours,bigint,int8,YES,null,NO,null
public,admin_dashboard,11,tickets_ouverts,bigint,int8,YES,null,NO,null
public,admin_dashboard,12,tickets_en_cours,bigint,int8,YES,null,NO,null
public,admin_dashboard,13,tickets_termines,bigint,int8,YES,null,NO,null
public,admin_dashboard,14,total_entreprises,bigint,int8,YES,null,NO,null
public,admin_dashboard,15,entreprises_30_jours,bigint,int8,YES,null,NO,null
public,admin_stats_entreprises,1,total_entreprises,bigint,int8,YES,null,NO,null
public,admin_stats_entreprises,2,entreprises_30_jours,bigint,int8,YES,null,NO,null
public,admin_stats_entreprises,3,entreprises_7_jours,bigint,int8,YES,null,NO,null
public,admin_stats_entreprises,4,regies_avec_entreprises,bigint,int8,YES,null,NO,null
public,admin_stats_entreprises,5,entreprises_autorisees,bigint,int8,YES,null,NO,null
public,admin_stats_evolution,1,jour,timestamp with time zone,timestamptz,YES,null,NO,null
public,admin_stats_evolution,2,type,text,text,YES,null,NO,null
public,admin_stats_evolution,3,nombre,bigint,int8,YES,null,NO,null
public,admin_stats_immeubles,1,total_immeubles,bigint,int8,YES,null,NO,null
public,admin_stats_immeubles,2,immeubles_30_jours,bigint,int8,YES,null,NO,null
public,admin_stats_immeubles,3,immeubles_7_jours,bigint,int8,YES,null,NO,null
public,admin_stats_immeubles,4,regies_avec_immeubles,bigint,int8,YES,null,NO,null
public,admin_stats_immeubles,5,moyenne_par_regie,numeric,numeric,YES,null,NO,null
public,admin_stats_locataires,1,total_locataires,bigint,int8,YES,null,NO,null
public,admin_stats_locataires,2,locataires_30_jours,bigint,int8,YES,null,NO,null
public,admin_stats_locataires,3,locataires_7_jours,bigint,int8,YES,null,NO,null
public,admin_stats_locataires,4,logements_occupes,bigint,int8,YES,null,NO,null
public,admin_stats_logements,1,total_logements,bigint,int8,YES,null,NO,null
public,admin_stats_logements,2,logements_30_jours,bigint,int8,YES,null,NO,null
public,admin_stats_logements,3,logements_7_jours,bigint,int8,YES,null,NO,null
public,admin_stats_logements,4,immeubles_avec_logements,bigint,int8,YES,null,NO,null
public,admin_stats_logements,5,moyenne_par_immeuble,numeric,numeric,YES,null,NO,null
public,admin_stats_regies,1,total_regies,bigint,int8,YES,null,NO,null
public,admin_stats_regies,2,regies_30_jours,bigint,int8,YES,null,NO,null
public,admin_stats_regies,3,regies_7_jours,bigint,int8,YES,null,NO,null
public,admin_stats_regies,4,regies_aujourd_hui,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,1,total_tickets,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,2,tickets_30_jours,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,3,tickets_7_jours,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,4,tickets_aujourd_hui,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,5,tickets_ouverts,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,6,tickets_en_cours,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,7,tickets_termines,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,8,tickets_annules,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,9,tickets_priorite_haute,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,10,tickets_priorite_moyenne,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,11,tickets_priorite_basse,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,12,regies_avec_tickets,bigint,int8,YES,null,NO,null
public,admin_stats_tickets,13,duree_moyenne_heures,numeric,numeric,YES,null,NO,null
public,admin_stats_tickets_categories,1,categorie,text,text,YES,null,NO,null
public,admin_stats_tickets_categories,2,total,bigint,int8,YES,null,NO,null
public,admin_stats_tickets_categories,3,ouverts,bigint,int8,YES,null,NO,null
public,admin_stats_tickets_categories,4,en_cours,bigint,int8,YES,null,NO,null
public,admin_stats_tickets_categories,5,termines,bigint,int8,YES,null,NO,null
public,admin_stats_tickets_priorites,1,priorite,text,text,YES,null,NO,null
public,admin_stats_tickets_priorites,2,total,bigint,int8,YES,null,NO,null
public,admin_stats_tickets_priorites,3,ouverts,bigint,int8,YES,null,NO,null
public,admin_stats_tickets_priorites,4,en_cours,bigint,int8,YES,null,NO,null
public,admin_stats_tickets_priorites,5,termines,bigint,int8,YES,null,NO,null
public,entreprises,1,id,uuid,uuid,NO,uuid_generate_v4(),NO,null
public,entreprises,2,nom,text,text,NO,null,NO,null
public,entreprises,3,siret,text,text,YES,null,NO,null
public,entreprises,4,adresse,text,text,YES,null,NO,null
public,entreprises,5,code_postal,text,text,YES,null,NO,null
public,entreprises,6,ville,text,text,YES,null,NO,null
public,entreprises,7,telephone,text,text,YES,null,NO,null
public,entreprises,8,email,text,text,NO,null,NO,null
public,entreprises,9,specialites,ARRAY,_text,YES,null,NO,null
public,entreprises,10,profile_id,uuid,uuid,YES,null,NO,null
public,entreprises,11,description,text,text,YES,null,NO,null
public,entreprises,12,site_web,text,text,YES,null,NO,null
public,entreprises,13,created_at,timestamp with time zone,timestamptz,YES,now(),NO,null
public,entreprises,14,updated_at,timestamp with time zone,timestamptz,YES,now(),NO,null
public,entreprises,15,signature_url,text,text,YES,null,NO,null
public,factures,1,id,uuid,uuid,NO,gen_random_uuid(),NO,null
public,factures,2,mission_id,uuid,uuid,NO,null,NO,null
public,factures,3,entreprise_id,uuid,uuid,NO,null,NO,null
public,factures,4,regie_id,uuid,uuid,NO,null,NO,null
public,factures,5,numero,text,text,NO,null,NO,null
public,factures,6,montant_ht,numeric,numeric,NO,null,NO,null
public,factures,7,taux_tva,numeric,numeric,NO,20.00,NO,null
public,factures,8,montant_tva,numeric,numeric,YES,null,NO,null
public,factures,9,montant_ttc,numeric,numeric,YES,null,NO,null
public,factures,10,taux_commission,numeric,numeric,NO,10.00,NO,null
public,factures,11,montant_commission,numeric,numeric,YES,null,NO,null
public,factures,12,statut,text,text,NO,'brouillon'::text,NO,null
public,factures,13,date_emission,date,date,NO,CURRENT_DATE,NO,null
public,factures,14,date_echeance,date,date,NO,null,NO,null
public,factures,15,date_envoi,timestamp with time zone,timestamptz,YES,null,NO,null
public,factures,16,date_paiement,timestamp with time zone,timestamptz,YES,null,NO,null
public,factures,17,notes,text,text,YES,null,NO,null
public,factures,18,created_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,factures,19,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,factures_commissions_jtec,1,facture_id,uuid,uuid,YES,null,NO,null
public,factures_commissions_jtec,2,numero,text,text,YES,null,NO,null
public,factures_commissions_jtec,3,date_emission,date,date,YES,null,NO,null
public,factures_commissions_jtec,4,statut,text,text,YES,null,NO,null
public,factures_commissions_jtec,5,entreprise_nom,text,text,YES,null,NO,null
public,factures_commissions_jtec,6,regie_nom,text,text,YES,null,NO,null
public,factures_commissions_jtec,7,montant_ht,numeric,numeric,YES,null,NO,null
public,factures_commissions_jtec,8,montant_ttc,numeric,numeric,YES,null,NO,null
public,factures_commissions_jtec,9,taux_commission,numeric,numeric,YES,null,NO,null
