schema_name,table_name,constraint_name,definition
"public,plans,plans_nom_check,""CHECK (((nom)::text = ANY ((ARRAY['basic'::character varying, 'pro'::character varying, 'enterprise'::character varying])::text[])))"""
public,plans,plans_prix_mensuel_check,CHECK ((prix_mensuel >= (0)::numeric))
public,plans,plans_prix_annuel_check,CHECK ((prix_annuel >= (0)::numeric))
public,plans,plans_limite_techniciens_check,CHECK (((limite_techniciens > 0) OR (limite_techniciens IS NULL)))
public,plans,plans_limite_utilisateurs_check,CHECK (((limite_utilisateurs > 0) OR (limite_utilisateurs IS NULL)))
"public,profiles,check_language,""CHECK ((language = ANY (ARRAY['fr'::text, 'en'::text, 'de'::text])))"""
"public,regies,regies_statut_validation_check,""CHECK ((statut_validation = ANY (ARRAY['en_attente'::text, 'valide'::text, 'refuse'::text])))"""
public,regies,check_telephone,CHECK (((telephone ~ '^[0-9+\s\-().]+$'::text) OR (telephone IS NULL)))
public,regies,check_nb_logements,CHECK ((nb_logements_geres >= 0))
"public,regies,check_email,""CHECK (((email ~ '^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Z|a-z]{2,}$'::text) OR (email IS NULL)))"""
public,regies,check_nb_collaborateurs,CHECK ((nb_collaborateurs >= 1))
"public,regies_entreprises,check_mode_diffusion,""CHECK ((mode_diffusion = ANY (ARRAY['general'::text, 'restreint'::text])))"""
"public,tickets,check_piece_valide,""CHECK (((piece IS NULL) OR (lower(piece) = ANY (ARRAY['cuisine'::text, 'salle_de_bain'::text, 'chambre'::text, 'salon'::text, 'wc'::text, 'entree'::text, 'couloir'::text, 'balcon'::text, 'cave'::text, 'garage'::text, 'exterieur'::text, 'parties_communes'::text, 'autre'::text]))))"""
"public,tickets,check_categorie,""CHECK ((categorie = ANY (ARRAY['plomberie'::text, 'électricité'::text, 'chauffage'::text, 'serrurerie'::text, 'vitrerie'::text, 'menuiserie'::text, 'peinture'::text, 'autre'::text])))"""
"public,tickets,check_priorite,""CHECK ((priorite = ANY (ARRAY['faible'::text, 'normale'::text, 'haute'::text, 'urgente'::text])))"""
public,tickets,check_plafond_positif,CHECK ((plafond_intervention_chf >= (0)::numeric))
public,tickets,check_devise_chf,CHECK ((devise = 'CHF'::text))
"public,tickets,check_sous_categorie_valide,""CHECK (((sous_categorie IS NULL) OR ((categorie = 'plomberie'::text) AND (sous_categorie = ANY (ARRAY['Fuite d''eau'::text, 'WC bouché'::text, 'Chauffe-eau'::text, 'Robinetterie'::text, 'Autre plomberie'::text]))) OR ((categorie = 'electricite'::text) AND (sous_categorie = ANY (ARRAY['Panne générale'::text, 'Prise défectueuse'::text, 'Interrupteur'::text, 'Éclairage'::text, 'Autre électricité'::text]))) OR ((categorie = 'chauffage'::text) AND (sous_categorie = ANY (ARRAY['Radiateur'::text, 'Chaudière'::text, 'Thermostat'::text, 'Autre chauffage'::text]))) OR ((categorie = 'ventilation'::text) AND (sous_categorie = ANY (ARRAY['VMC défectueuse'::text, 'Grille cassée'::text, 'Bruit anormal'::text, 'Autre ventilation'::text]))) OR ((categorie = 'serrurerie'::text) AND (sous_categorie = ANY (ARRAY['Porte bloquée'::text, 'Clé perdue'::text, 'Verrou défectueux'::text, 'Autre serrurerie'::text]))) OR ((categorie = 'vitrerie'::text) AND (sous_categorie = ANY (ARRAY['Vitre cassée'::text, 'Double vitrage'::text, 'Autre vitrerie'::text]))) OR ((categorie = 'menuiserie'::text) AND (sous_categorie = ANY (ARRAY['Porte'::text, 'Fenêtre'::text, 'Parquet'::text, 'Autre menuiserie'::text]))) OR ((categorie = 'peinture'::text) AND (sous_categorie = ANY (ARRAY['Murs'::text, 'Plafond'::text, 'Boiseries'::text, 'Autre peinture'::text]))) OR ((categorie = 'autre'::text) AND (sous_categorie = 'Autre intervention'::text))))"""
public,tickets,check_dates,CHECK (((date_cloture IS NULL) OR (date_cloture >= date_creation)))
public,tickets_disponibilites,check_preference_valide,CHECK (((preference >= 1) AND (preference <= 3)))
public,tickets_disponibilites,check_date_fin_apres_debut,CHECK ((date_fin > date_debut))
